"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome"
"2501651735_PE3_Contig_595-circular",53,"2501651735_PE3_Contig_595-circular",53,1,2,"7.145843694","","28.60868527","gene_13-gene_47:4.83029318184128","2.692592597","",2501651735,"Moritella sp PE36 (Updated) : PE3_Contig_595",2501651208,"Moritella sp. PE36",56,50709,0.4,NA,1,1
"2518681435_CP003677",4382,"2518681435_CP003677-gene_1360-gene_1414",55,1,3,"gene_1360-gene_1414:7.65308072722566","","gene_1360-gene_1409:24.02789039178666","","","",2518681435,"Pseudomonas stutzeri Ursing AN10, CCUG 29243 : CP003677",2518645567,"Pseudomonas stutzeri AN10, CCUG 29243",4374,4709064,0.63,1,1,1
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2589-gene_2649",61,1,4,"gene_2589-gene_2649:22.25894965098505","","gene_2591-gene_2649:26.39840923635721","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3
"2541145441_ATJC01000124-circular",6,"2541145441_ATJC01000124-circular",6,1,2,"4.006152152","14.67015978","2.692064558","","","",2541145441,"Enterococcus faecalis LA3B-2 : ATJC01000124",2541047540,"Enterococcus faecalis LA3B-2",7,5420,0.45,1,1,1
"2690318780_Ga0045920_11",3514,"2690318780_Ga0045920_11-gene_2185-gene_2236",52,1,4,"gene_2185-gene_2236:41.19996677314062","","gene_2185-gene_2236:27.42918012560486","","","",2690318780,"Clostridium botulinum B Eklund 17B : Ga0045920_11",2690315688,"Clostridium botulinum B Eklund 17B",3570,3781509,0.27,1,6,6
"2724812731_K09K1_contig000002",3096,"2724812731_K09K1_contig000002-gene_3087-gene_3096",10,1,2,"","gene_3087-gene_3096:7.60588799823735","","","","",2724812731,"Vibrio alginolyticus K09K1 (K09K1) : K09K1_contig000002",2724679826,"Vibrio alginolyticus K09K1 (K09K1)",3223,3465619,0.45,1,5,5
"641522729_NC_010674",3507,"641522729_NC_010674-gene_2172-gene_2223",52,1,4,"gene_2172-gene_2223:41.20084629358395","","gene_2172-gene_2223:27.43005964604818","","","",641522729,"Clostridium botulinum B str. Eklund 17B: NC_010674",641522618,"Clostridium botulinum B Eklund 17B",3585,3800327,0.28,NA,6,6
"641522729_NC_010674",3507,"641522729_NC_010674-gene_2639-gene_2721",83,1,4,"gene_2639-gene_2721:16.28258413351434","","gene_2639-gene_2721:31.17119350076574","","","",641522729,"Clostridium botulinum B str. Eklund 17B: NC_010674",641522618,"Clostridium botulinum B Eklund 17B",3585,3800327,0.28,NA,6,6
"643348578_NC_011566",4565,"643348578_NC_011566-gene_2273-gene_2282",10,1,2,"","gene_2273-gene_2282:4.41470138632291","","","","",643348578,"Shewanella piezotolerans WP3: NC_011566",643348575,"Shewanella piezotolerans WP3",5047,5396476,0.43,NA,2,2
"647533937_NZ_DS999412-circular",4631,"647533937_NZ_DS999412-circular-gene_1745-gene_1810",66,1,2,"gene_1745-gene_1810:3.53592634107919","","gene_1749-gene_1810:26.67876626271415","gene_1761-gene_1788:5.45418207635417","gene_1747-gene_1808:2.44372519997279","",647533937,"Stenotrophomonas sp. SKA14 scf_1108481805244 genomic scaffold: NZ_DS999412",647533230,"Stenotrophomonas sp. SKA14",4534,5017753,0.66,NA,9,9
"2506213072_Contig398",4215,"2506213072_Contig398-gene_1804-gene_1865",62,2,6,"gene_1804-gene_1858:9.62558609647393","","gene_1804-gene_1865:22.27059174476230","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,2,2
"2506213072_Contig398",4215,"2506213072_Contig398-gene_4176-gene_4195",20,2,2,"","","gene_4176-gene_4195:3.16731213685282","","","",2506213072,"Marinomonas mediterranea MMB-1 : Contig398",2506210002,"Marinomonas mediterranea MMB-1, ATCC 700492",4326,4684316,0.44,1,2,2
"2506485008_Contig317",4900,"2506485008_Contig317-gene_4573-gene_4589",17,2,1,"","","gene_4573-gene_4589:5.86991566422538","gene_4574-gene_4587:2.10884826099981","","",2506485008,"Anabaena sp. PCC 7108 : Contig317",2506485002,"Anabaena sp. PCC 7108",5076,5714552,0.39,1,4,4
"2506485008_Contig317",4900,"2506485008_Contig317-gene_861-gene_960",100,2,2,"","","gene_861-gene_960:26.43527543756583","gene_864-gene_960:12.58222369329079","","",2506485008,"Anabaena sp. PCC 7108 : Contig317",2506485002,"Anabaena sp. PCC 7108",5076,5714552,0.39,1,4,4
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2020-gene_2084",65,2,1,"","","gene_2020-gene_2084:6.35712163340614","gene_2020-gene_2084:4.13585836099760","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_203-gene_232",30,2,1,"","","gene_203-gene_232:8.15714821050804","gene_203-gene_232:5.66071612875706","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
"2507267694_KS100_Contig_1",2865,"2507267694_KS100_Contig_1-gene_2693-gene_2762",70,2,1,"","","gene_2693-gene_2762:7.93895566817361","gene_2736-gene_2762:3.92715921979740","","",2507267694,"Synechococcus sp. KORDI-100 (genome sequencing) : KS100_Contig.1",2507262013,"Synechococcus sp. KORDI-100 (genome sequencing)",3058,2789000,0.57,1,9,9
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2046-gene_2094",49,2,4,"","","gene_2046-gene_2094:9.69438753751968","","","",2507281626,"Shewanella baltica OS625 : Sbal625_Contig118.1",2507262035,"Shewanella baltica OS625",4558,5145631,0.46,1,2,2
"2507281626_Sbal625_Contig118_1",4363,"2507281626_Sbal625_Contig118_1-gene_2172-gene_2219",48,2,0,"","gene_2192-gene_2212:2.99273696332354","gene_2172-gene_2215:11.33581515594062","gene_2172-gene_2219:4.45272420750462","","gene_2174-gene_2215:2.75033895147907",2507281626,"Shewanella baltica OS625 : Sbal625_Contig118.1",2507262035,"Shewanella baltica OS625",4558,5145631,0.46,1,2,2
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_672-gene_732",61,2,4,"gene_674-gene_732:5.81752901555456","","gene_672-gene_732:29.49138609286272","","","",2511244427,"Pelagibacterium halotolerans B2 : NC_016078",2511231054,"Pelagibacterium halotolerans B2",3937,3944837,0.61,1,3,3
"2511244427_NC_016078",3849,"2511244427_NC_016078-gene_909-gene_925",17,2,1,"","","gene_909-gene_925:4.16407378516032","","","",2511244427,"Pelagibacterium halotolerans B2 : NC_016078",2511231054,"Pelagibacterium halotolerans B2",3937,3944837,0.61,1,3,3
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3164-gene_3224",61,2,6,"gene_3173-gene_3190:3.11577588581729","","gene_3164-gene_3224:26.13858579564700","gene_3191-gene_3224:7.90793626073007","","",2512205695,"Acetobacterium woodii WB1, DSM 1030 : CP002987",2512047040,"Acetobacterium woodii WB1, DSM 1030",3561,4044777,0.39,1,3,3
"2512205695_CP002987",3683,"2512205695_CP002987-gene_3566-gene_3646",81,2,5,"gene_3590-gene_3646:3.77973878846060","","gene_3566-gene_3643:26.75495933650836","","","gene_3570-gene_3641:3.78372788569503",2512205695,"Acetobacterium woodii WB1, DSM 1030 : CP002987",2512047040,"Acetobacterium woodii WB1, DSM 1030",3561,4044777,0.39,1,3,3
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_1-gene_35",35,2,1,"","","gene_1-gene_35:8.53901558029853","gene_1-gene_35:3.22524035242935","","",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_2735-gene_2790",56,2,1,"gene_2739-gene_2778:5.21308985067042","","gene_2735-gene_2790:20.03993189837095","","","",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3
"2512211939_PhacaeDRAFT_Scaffold1_6",3405,"2512211939_PhacaeDRAFT_Scaffold1_6-gene_3366-gene_3405",40,2,1,"","","gene_3366-gene_3405:17.56069396834337","gene_3366-gene_3396:11.68773119873446","","gene_3371-gene_3394:7.64590228711917",2512211939,"cCaer_A3521",2512047087,"Leisingera caerulea DSM 24564",3453,3520924,0.64,1,3,3
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1289-gene_1357",69,2,3,"","","gene_1289-gene_1357:31.23994378630123","gene_1289-gene_1355:6.36470012128221","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_1786-gene_1861",76,2,3,"","","gene_1786-gene_1861:2.69901065528984","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_2139-gene_2184",46,2,2,"gene_2143-gene_2184:4.57860320208050","","gene_2139-gene_2184:16.57052781929814","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4
"2512569605_Leime_Contig76_3",4053,"2512569605_Leime_Contig76_3-gene_3039-gene_3094",56,2,4,"","","gene_3039-gene_3094:9.50477085471373","","","",2512569605,"cMeth_4145",2512564009,"Leisingera methylohalidivorans MB2, DSM 14336",4135,4144900,0.62,1,4,4
"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1",4264,"2513256208_cola_cola-finished-ohne-overlap_screen_ace_1_1-gene_1652-gene_1755",104,2,2,"","","gene_1652-gene_1728:24.80938879609361","gene_1656-gene_1755:7.38950914688497","","gene_1653-gene_1744:3.63166267709122",2513256208,"Glaciecola sp. ANT9081 (cola82) : cola_cola-finished-ohne-overlap_screen_ace_1.1",2513237134,"Glaciecola sp. ANT9081 (cola82)",4330,4996068,0.39,1,9,9
"2516493516_NitteDRAFT_scaffold1_1-circular",1953,"2516493516_NitteDRAFT_scaffold1_1-circular-gene_1828-gene_1876",49,2,1,"","","gene_1828-gene_1876:3.67789516198555","","","",2516493516,"Nitratiruptor tergarcus DSM 16512 : NitteDRAFT_scaffold1.1",2516493030,"Nitratiruptor tergarcus DSM 16512",2004,1894691,0.37,1,1,1
